9,2010-05-17T14:32:26.000Z,LCD Soundsystem- This Is Happening ALBUM REVIEW
5,2018-10-23T02:01:27.000Z,Future & Juice WRLD - WRLD on Drugs ALBUM REVIEW
5,2018-11-24T22:48:04.000Z,Muse - Simulation Theory ALBUM REVIEW
8,2018-09-21T22:37:07.000Z,Guerilla Toss - Twisted Crystal ALBUM REVIEW
7,2011-03-24T07:14:34.000Z,The Strokes- Angles ALBUM REVIEW
5,2018-08-08T20:53:04.000Z,YG - Stay Dangerous ALBUM REVIEW
7,2018-03-15T23:15:28.000Z,David Byrne - American Utopia ALBUM REVIEW
8,2016-10-20T14:22:08.000Z,Jeff Rosenstock - Worry ALBUM REVIEW
6,2017-09-24T16:53:49.000Z,Foo Fighters - Concrete and Gold ALBUM REVIEW
9,2012-07-23T13:52:29.000Z,TNGHT- Self-Titled EP REVIEW
8,2011-09-22T17:30:22.000Z,Andrew Jackson Jihad- Knife Man ALBUM REVIEW
7,2018-02-01T19:57:11.000Z,Ty Segall - Freedom's Goblin ALBUM REVIEW
8,2013-12-11T17:46:45.000Z,Future Of The Left - How To Stop Your Brain In An Accident ALBUM REVIEW
8,2016-08-31T18:47:27.000Z,Carly Rae Jepsen - Emotion: Side B EP REVIEW
8,2011-08-24T11:38:59.000Z,Danny Brown- XXX ALBUM REVIEW
5,2018-07-10T17:51:59.000Z,The Carters - Everything Is Love ALBUM REVIEW
7,2015-07-14T14:24:27.000Z,Tame Impala - Currents ALBUM REVIEW
8,2017-11-09T22:39:25.000Z,Converge - The Dusk In Us ALBUM REVIEW
4,2018-07-03T20:28:32.000Z,Drake - Scorpion ALBUM REVIEW
5,2018-10-06T02:51:50.000Z,Logic - YSIV ALBUM REVIEW
4,2017-03-10T18:51:01.000Z,Ed Sheeran - Divide ALBUM REVIEW
7,2018-08-23T23:38:45.000Z,Ariana Grande - Sweetener ALBUM REVIEW
7,2014-10-01T13:06:54.000Z,Julian Casablancas + The Voidz - Tyranny ALBUM REVIEW
7,2015-06-08T04:59:51.000Z,Jamie xx - In Colour ALBUM REVIEW
5,2010-04-15T17:12:46.000Z,Iggy and the Stooges- Raw Power Review (Legacy Remaster)
7,2015-05-02T04:34:17.000Z,Blur - The Magic Whip ALBUM REVIEW
7,2012-12-04T14:31:58.000Z,Scott Walker- Bish Bosch ALBUM REVIEW
8,2012-08-23T20:07:14.000Z,Wild Nothing- Nocturne ALBUM REVIEW
7,2018-05-15T18:16:47.000Z,Playboi Carti - Die Lit ALBUM REVIEW
8,2015-12-07T19:50:21.000Z,Sophie - Product COMPILATION REVIEW
6,2018-12-07T03:34:21.000Z,Ski Mask the Slump God - Stokeley ALBUM REVIEW
8,2012-10-10T14:12:36.000Z,Tame Impala- Lonerism ALBUM REVIEW
4,2017-11-14T23:06:27.000Z,Taylor Swift - Reputation ALBUM REVIEW
8,2018-11-03T03:08:11.000Z,Julia Holter - Aviary ALBUM REVIEW
7,2016-12-01T17:41:26.000Z,Sleigh Bells - Jessica Rabbit ALBUM REVIEW
2,2017-05-30T21:14:00.000Z,Lil Yachty - Teenage Emotions ALBUM REVIEW
9,2014-10-07T21:18:41.000Z,Iceage - Plowing Into the Field of Love ALBUM REVIEW
7,2017-06-23T17:05:58.000Z,Lorde - Melodrama ALBUM REVIEW
7,2015-03-12T17:11:31.000Z,Lightning Bolt - Fantasy Empire ALBUM REVIEW
7,2018-11-16T03:28:50.000Z,Jeffrey Lewis - Works by Tuli Kupferberg (1923​-​2010) ALBUM REVIEW
6,2017-10-03T21:15:24.000Z,Smokepurpp - Deadstar MIXTAPE REVIEW
7,2012-11-21T15:37:40.000Z,Captain Murphy- Duality ALBUM REVIEW
7,2014-10-18T15:53:16.000Z,Godflesh - A World Lit Only By Fire ALBUM REVIEW
7,2017-01-24T19:26:50.000Z,Foxygen - Hang ALBUM REVIEW
7,2014-10-16T15:03:08.000Z,Weezer - Everything Will Be Alright In The End ALBUM REVIEW
8,2015-06-24T14:54:42.000Z,Lil Ugly Mane - Third Side of Tape ALBUM REVIEW
8,2013-10-28T21:14:53.000Z,Cage The Elephant - Melophobia ALBUM REVIEW
4,2014-04-24T15:48:56.000Z,Pixies - Indie Cindy ALBUM REVIEW ft. Silly Bars
7,2016-03-14T15:27:13.000Z,ORANSSI PAZUZU - Värähtelijä ALBUM REVIEW
8,2013-05-31T19:50:13.000Z,Deafheaven - Sunbather ALBUM REVIEW
4,2018-11-29T02:19:22.000Z,6ix9ine - Dummy Boy ALBUM REVIEW
7,2012-03-28T19:53:24.000Z,The Mars Volta- Noctourniquet ALBUM REVIEW
8,2014-08-15T03:38:43.000Z,Mick Jenkins - The Water[s] ALBUM REVIEW
8,2014-11-12T17:12:38.000Z,Dean Blunt - Black Metal ALBUM REVIEW
6,2013-05-22T15:44:44.000Z,Anamanaguchi - Endless Fantasy ALBUM REVIEW
7,2018-12-12T02:22:25.000Z,"Black Thought & Salaam Remi - Streams of Thought, Vol. 2 EP REVIEW"
8,2010-06-22T18:06:13.000Z,Janelle Monáe- The ArchAndroid ALBUM REVIEW
8,2013-03-07T14:58:12.000Z,Autechre - Exai ALBUM REVIEW
7,2015-02-04T18:16:19.000Z,John Carpenter - Lost Themes ALBUM REVIEW
8,2010-05-28T15:18:19.000Z,Ratatat- LP4 ALBUM REVIEW
7,2018-12-03T18:06:16.000Z,Kai Whiston - Kai Whiston Bitch ALBUM REVIEW
9,2015-09-29T01:36:17.000Z,Julia Holter - Have You In My Wilderness ALBUM REVIEW
7,2015-10-18T13:59:44.000Z,The World Is A Beautiful Place & I Am No Longer Afraid To Die - Harmlessness ALBUM REVIEW
7,2018-11-30T00:07:04.000Z,Onyx Collective - Lower East Suite Part Three ALBUM REVIEW
7,2017-08-21T22:56:04.000Z,Alice Glass - Self-Titled EP REVIEW
5,2018-05-10T23:01:00.000Z,Wiley - Godfather II ALBUM REVIEW
8,2015-01-27T19:20:40.000Z,Björk - Vulnicura ALBUM REVIEW
8,2015-11-11T21:51:04.000Z,Oneohtrix Point Never - Garden of Delete ft. FrankJavCee
7,2013-04-12T16:15:02.000Z,Makthaverskan - II ALBUM REVIEW
9,2011-06-09T11:52:14.000Z,Battles- Gloss Drop ALBUM REVIEW
7,2013-08-29T17:33:20.000Z,King Krule - 6 Feet Beneath The Moon ALBUM REVIEW
5,2017-10-14T01:43:30.000Z,Marilyn Manson - Heaven Upside Down ALBUM REVIEW
6,2017-12-08T18:59:56.000Z,Prurient - Rainbow Mirror ALBUM REVIEW
9,2010-03-15T20:10:24.000Z,"Ariel Pink's Haunted Graffiti- ""Round and Round"" Review"
7,2018-10-15T21:16:10.000Z,Clarence Clarity - Think: Peace ALBUM REVIEW
9,2015-05-05T15:31:18.000Z,Kamasi Washington - The Epic ALBUM REVIEW
8,2011-02-11T13:37:28.000Z,Natural Child- Self-Titled 7'' EP REVIEW
6,2018-04-10T22:42:08.000Z,Cardi B - Invasion of Privacy ALBUM REVIEW
8,2015-06-22T00:45:09.000Z,KEN mode - Success ALBUM REVIEW
7,2014-04-05T23:11:44.000Z,Tony Molina - Dissed and Dismissed ALBUM REVIEW
7,2014-10-16T03:15:05.000Z,alt-J - This Is All Yours ALBUM REVIEW
7,2018-05-16T17:08:04.000Z,Beach House - 7 ALBUM REVIEW
6,2015-02-13T07:46:58.000Z,"Pond - Man, It Feels Like Space Again ALBUM REVIEW"
6,2014-09-10T18:18:38.000Z,Death From Above 1979 - The Physical World ALBUM REVIEW
8,2013-02-08T01:30:08.000Z,My Bloody Valentine - MBV ALBUM REVIEW
6,2016-08-03T22:58:46.000Z,Bones - PaidProgramming2 MIXTAPE REVIEW
8,2011-11-07T15:06:27.000Z,Ghoul- Transmission Zero ALBUM REVIEW
5,2010-04-06T19:27:10.000Z,"Awesome Color- ""Transparent"" Track Review"
2,2017-12-18T16:55:14.000Z,Eminem - Revival ALBUM REVIEW
4,2014-11-03T18:03:07.000Z,Slipknot - .5: The Gray Chapter ALBUM REVIEW
7,2010-08-18T16:22:07.000Z,Teen Daze- Four More Years ALBUM REVIEW
6,2014-10-07T14:57:04.000Z,Shellac - Dude Incredible ALBUM REVIEW
7,2011-04-11T10:44:03.000Z,"Beastie Boys- ""Make Some Noise"" TRACK REVIEW"
6,2012-06-25T17:31:18.000Z,The Smashing Pumpkins- Oceania ALBUM REVIEW
7,2012-10-21T03:22:14.000Z,Blu & Exile- Give Me My Flowers While I Can Still Smell Them ALBUM REVIEW
7,2011-05-16T10:24:09.000Z,Amon Tobin- ISAM ALBUM REVIEW
7,2013-04-09T13:34:08.000Z,James Blake - Overgrown ALBUM REVIEW
5,2017-06-06T20:02:04.000Z,alt-J - Relaxer ALBUM REVIEW
7,2017-03-02T18:54:10.000Z,Dirty Projectors - Self-Titled ALBUM REVIEW
6,2017-02-14T19:28:47.000Z,Lupe Fiasco - DROGAS Light ALBUM REVIEW
3,2015-12-18T15:04:11.000Z,Willow Smith - Ardipithecus ALBUM REVIEW
6,2014-05-30T16:39:11.000Z,Eyehategod - Self-Titled ALBUM REVIEW
8,2015-02-17T00:22:32.000Z,"Drake - If You're Reading This, It's Too Late ALBUM / MIXTAPE REVIEW"
6,2010-04-21T18:18:03.000Z,Happy Birthday- Self-Titled Review
4,2016-11-02T01:18:13.000Z,Korn - The Serenity of Suffering ALBUM REVIEW
4,2012-11-28T14:06:28.000Z,Macintosh Plus- Floral Shoppe ALBUM REVIEW
8,2014-12-09T16:34:19.000Z,Full of Hell - Full of Hell & Merzbow ALBUM REVIEW
4,2017-07-31T17:48:12.000Z,Arcade Fire - Everything Now ALBUM REVIEW
6,2011-04-12T09:52:12.000Z,TV on the Radio- Nine Types of Light ALBUM REVIEW
6,2017-08-30T22:25:58.000Z,Queens of the Stone Age - Villains ALBUM REVIEW
6,2015-04-08T11:38:23.000Z,Shlohmo - Dark Red ALBUM REVIEW
7,2016-04-18T19:14:56.000Z,PJ Harvey - The Hope Six Demolition Project ALBUM REVIEW
7,2014-02-27T20:55:00.000Z,St. Vincent - Self-Titled ALBUM REVIEW
7,2013-09-13T15:39:48.000Z,Janelle Monáe - The Electric Lady ALBUM REVIEW
5,2016-11-24T02:27:54.000Z,Justice - Woman ALBUM REVIEW
0,2014-04-01T16:21:02.000Z,PLANNINGTOROCK - All Love's Legal ALBUM REVIEW
2,2018-12-08T18:48:58.000Z,XXXTentacion - Skins ALBUM REVIEW
7,2013-05-14T18:03:48.000Z,Vampire Weekend - Modern Vampires of the City ALBUM REVIEW
7,2015-02-18T17:13:55.000Z,Adventures - Supersonic Home ALBUM REVIEW
7,2015-11-09T14:24:44.000Z,Grimes - Art Angels ALBUM REVIEW
5,2015-05-15T14:04:09.000Z,Snoop Dogg - Bush ALBUM REVIEW
7,2013-04-03T12:42:49.000Z,The Mary Onettes - Hit The Waves ALBUM REVIEW
8,2014-08-26T00:08:12.000Z,Uncommon Nasa - New York Telephone ALBUM REVIEW
7,2011-09-27T09:03:43.000Z,Wild Flag- Self-Titled ALBUM REVIEW
6,2015-03-16T14:50:14.000Z,of Montreal - Aureate Gloom ALBUM REVIEW
4,2017-11-21T20:02:17.000Z,Jaden Smith - SYRE ALBUM REVIEW
5,2018-04-27T00:47:30.000Z,A Perfect Circle - Eat the Elephant ALBUM REVIEW
5,2015-03-04T18:20:36.000Z,Cannibal Ox- Blade of the Ronin ALBUM REVIEW
6,2014-07-30T03:51:04.000Z,Joyce Manor - Never Hungover Again ALBUM REVIEW
8,2012-02-28T17:25:25.000Z,Christian Mistress- Possession ALBUM REVIEW
7,2015-04-24T15:16:29.000Z,Toro Y Moi - What For? ALBUM REVIEW
3,2018-11-27T23:17:22.000Z,"Tyler, the Creator - Music Inspired by Illumination & Dr. Seuss' The Grinch EP REVIEW"
8,2011-07-17T20:04:14.000Z,Zombi- Escape Velocity ALBUM REVIEW
7,2010-11-27T20:13:24.000Z,Maserati- Pyramid of the Sun ALBUM REVIEW
7,2013-02-07T14:07:00.000Z,Unknown Mortal Orchestra - II ALBUM REVIEW
6,2016-03-01T23:52:47.000Z,Macklemore & Ryan Lewis - This Unruly Mess I've Made ALBUM REVIEW
7,2012-02-06T16:32:26.000Z,of Montreal- Paralytic Stalks ALBUM REVIEW
5,2017-03-22T16:55:55.000Z,Drake - More Life PLAYLIST REVIEW
6,2012-05-04T15:58:16.000Z,Dweller On the Threshold- Self-Titled ALBUM REVIEW
5,2017-04-21T20:30:52.000Z,"Timber Timbre - Sincerely, Future Pollution ALBUM REVIEW"
6,2012-10-09T13:25:24.000Z,METZ- Self-Titled ALBUM REVIEW
6,2014-12-02T19:24:05.000Z,Clark - Self-TItled ALBUM REVIEW
4,2017-10-19T22:52:28.000Z,Beck - Colors ALBUM REVIEW
6,2012-11-30T15:10:49.000Z,Code Orange Kids- Love Is Love // Return To Dust ALBUM REVIEW
3,2014-08-28T15:32:12.000Z,Rustie - Green Language ALBUM REVIEW
6,2012-05-15T12:10:38.000Z,Squarepusher- Ufabulum ALBUM REVIEW
7,2011-12-02T17:07:14.000Z,Comet Gain- Howl of the Lonely Crowd ALBUM REVIEW
6,2017-04-29T17:58:03.000Z,The Smith Street Band - More Scared of You Than You Are of Me ALBUM REVIEW
5,2014-01-21T23:12:09.000Z,Against Me! - Transgender Dysphoria Blues ALBUM REVIEW
5,2011-04-28T09:29:42.000Z,"Explosions In the Sky- Take Care, Take Care, Take Care ALBUM REVIEW"
8,2010-08-31T16:27:53.000Z,Magic Kids- Memphis ALBUM REVIEW
6,2011-05-26T11:35:06.000Z,Boris- Heavy Rocks / Attention Please ALBUM REVIEWS
5,2014-05-22T17:18:44.000Z,Chromeo - White Women ALBUM REVIEW
7,2015-03-27T01:06:16.000Z,Liturgy - The Ark Work ALBUM REVIEW
4,2017-05-16T21:17:55.000Z,Harry Styles - Self-Titled ALBUM REVIEW
